,k,Q_D,P_D,E_TES,Q_in_TES,Q_out_TES,delta_in_TES,delta_out_TES,Q_in_B1,Q_in_B2,Q_out_B1,Q_out_B2,delta_B1,delta_B2,Q_in_CHP1,Q_in_CHP2,Q_out_CHP1,Q_out_CHP2,P_out_CHP1,P_out_CHP2,delta_CHP1,delta_CHP2,P_grid
0,1,320.468192,396.6608949,578.8538198373423,0.0,320.4681920000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,396.6608949
1,2,339.6319139,396.6608949,699.5073473529542,130.36808610000006,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,16.5365526703946
2,3,355.3113195,396.6608949,804.7008541710962,114.68868050000015,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,16.5365526703946
3,4,357.0534765,396.6608949,907.7187877706363,112.94652350000004,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
4,5,357.0534765,396.6608949,528.2838070359919,0.0,357.0534765,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,396.6608949
5,6,353.569165,396.6608949,635.9822108696476,116.43083500000114,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
6,7,355.3113195,396.6608949,741.4925506277882,114.68868050000066,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
7,8,383.7054617,587.1223702,334.90192550091626,0.0,383.7054617000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,587.1223702
8,9,506.9542607,781.293796,743.5982758820832,433.0457393000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,21.045111540789208
9,10,497.295584,781.293796,217.72702241153155,0.0,497.295584,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.293796
10,11,487.2668116,791.3176496,645.664181845512,452.7331884000009,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,31.068965140789146
11,12,472.8077301,791.3176496,145.9937305704591,0.0,472.8077301000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,791.3176496
