gas_price,electricity_price,point_type
25.0000,65.0000,corner
315.0000,65.0000,corner
25.0000,450.0000,corner
315.0000,450.0000,corner
170.0000,65.0000,edge_midpoint
170.0000,450.0000,edge_midpoint
25.0000,257.5000,edge_midpoint
315.0000,257.5000,edge_midpoint
56.9751,113.1240,interior
85.1236,374.3031,interior
281.1111,101.2583,interior
290.7835,194.9671,interior
148.8303,266.7641,interior
137.0066,144.0402,interior
60.1608,412.0785,interior
258.9486,140.6059,interior
189.9523,221.6136,interior
286.7676,425.6498,interior
249.6818,233.9112,interior
125.2320,187.6128,interior
71.4794,245.9862,interior
131.5443,429.2239,interior
115.5386,318.4791,interior
106.5420,86.4260,interior
48.3502,333.2736,interior
96.2587,286.6413,interior
172.0564,309.6322,interior
205.9215,79.5542,interior
267.2415,339.4202,interior
183.1762,253.4479,interior
228.3121,271.1612,interior
165.2254,123.9664,interior
214.9930,358.1425,interior
39.5310,208.2110,interior
158.0547,363.8262,interior
197.6626,405.5853,interior
77.2049,168.0883,interior
306.5464,293.0107,interior
232.8462,157.0780,interior
241.9411,385.9126,interior
