opex_milp,opex_lp,deviation_percentage_relative_to_MILP
5908.74,5585.89,-5.463939858582362
30720.49,30299.68,-1.369802369688769
19511.94,13456.04,-31.036893307379987
60930.84,58222.14,-4.445532016299131
19315.85,19088.75,-1.1757183867134946
40454.94,38147.58,-5.703530891406588
12704.71,9520.97,-25.05952516822501
48326.53,47905.71,-0.8707846394102778
34930.72,33327.24,-4.590457912118626
40615.15,40218.16,-0.9774431462151388
37236.85,35597.61,-4.402198359957939
9000.36,8615.24,-4.278939953512979
25036.44,22968.68,-8.259001679152462
31130.79,30851.14,-0.8983067888736568
49049.41,46903.05,-4.375914001819798
27151.17,25978.07,-4.320624120433847
24144.76,22899.68,-5.156729658940483
31479.21,31122.93,-1.131794603485916
46959.25,44885.79,-4.415445306302803
17667.6,16664.6,-5.677058570490616
22368.11,17521.93,-21.66557657307658
34311.75,32767.69,-4.500091076671989
52802.11,50686.61,-4.00646868089173
24409.62,24197.35,-0.8696161595305476
35303.04,33791.83,-4.280679510886312
34637.83,34268.0,-1.0677054538347286
40637.22,38817.2,-4.478702037196451
17106.42,15455.6,-9.65029503543113
23571.89,20319.41,-13.79812989115425
36643.9,36345.07,-0.8154972587524847
45728.76,45105.56,-1.362818497593209
18808.31,18651.38,-0.834365235366709
31901.24,29169.27,-8.563836390058823
43124.21,42772.23,-0.8162004590924585
42072.35,40204.65,-4.4392576121847185
17703.37,16929.78,-4.369732994339497
15668.81,12454.0,-20.51725689442912
24578.57,24308.24,-1.099860569593748
56391.52,53862.17,-4.485337511739351
25706.63,24559.42,-4.4627008674416
