gas_price_MWh,electricity_price_MWh,opex
25.0,65.0,5585.89
315.0,65.0,30299.68
25.0,450.0,13456.04
315.0,450.0,58222.14
170.0,65.0,19088.75
170.0,450.0,38147.58
25.0,257.5,9520.97
315.0,257.5,47905.71
150.9986,372.4801,33327.24
297.165,188.5232,40218.16
187.7785,293.2829,35597.61
41.9055,84.3208,8615.24
97.8375,308.5944,22968.68
209.331,160.3581,30851.14
241.175,409.9422,46903.05
129.5041,242.4099,25978.07
102.8982,263.0621,22899.68
266.6879,114.8425,31122.93
238.2993,364.0583,44885.79
74.2669,196.5539,16664.60
52.7134,418.0399,17521.93
182.3683,234.0997,32767.69
288.1814,339.1831,50686.61
158.8892,130.2489,24197.35
164.8603,328.8759,33791.83
276.8297,140.6564,34268.00
176.371,429.6851,38817.20
64.0914,222.1752,15455.60
77.0428,352.2197,20319.41
223.6851,208.293,36345.07
263.953,273.5611,45105.56
117.4714,104.6236,18651.38
123.5039,398.1138,29169.27
252.5564,254.1592,42772.23
215.307,319.0812,40204.65
86.4803,150.127,16929.78
39.1672,282.9647,12454.00
202.3546,94.7173,24308.24
299.9464,384.1367,53862.17
136.3795,176.6101,24559.42
