opex_milp,opex_lp,deviation_percentage_relative_to_MILP
5908.74,5585.89,-5.46
30720.49,30299.68,-1.37
19511.94,13456.04,-31.04
60930.84,58222.14,-4.45
19315.85,19088.75,-1.18
40454.94,38147.58,-5.7
12704.71,9520.97,-25.06
48326.53,47905.71,-0.87
34930.72,33327.24,-4.59
40615.15,40218.16,-0.98
37236.85,35597.61,-4.4
9000.36,8615.24,-4.28
25036.44,22968.68,-8.26
31130.79,30851.14,-0.9
49049.41,46903.05,-4.38
27151.17,25978.07,-4.32
24144.76,22899.68,-5.16
31479.21,31122.93,-1.13
46959.25,44885.79,-4.42
17667.6,16664.6,-5.68
22368.11,17521.93,-21.67
34311.75,32767.69,-4.5
52802.11,50686.61,-4.01
24409.62,24197.35,-0.87
35303.04,33791.83,-4.28
34637.83,34268.0,-1.07
40637.22,38817.2,-4.48
17106.42,15455.6,-9.65
23571.89,20319.41,-13.8
36643.9,36345.07,-0.82
45728.76,45105.56,-1.36
18808.31,18651.38,-0.83
31901.24,29169.27,-8.56
43124.21,42772.23,-0.82
42072.35,40204.65,-4.44
17703.37,16929.78,-4.37
15668.81,12454.0,-20.52
24578.57,24308.24,-1.1
56391.52,53862.17,-4.49
25706.63,24559.42,-4.46
