price_factor,opex/C_el[€/kWh]
0.0555555555555555,38680.90
0.0623000301008691,39748.38
0.0698632875102457,40945.45
0.0783447284670117,42287.84
0.0878558209513066,43793.21
0.0985215652164535,45481.32
0.1104821366142564,47374.37
0.1238947278601773,49497.24
0.1389356149505047,51877.83
0.155802473882986,54547.42
0.1747169786285984,57541.11
0.1959277144985028,60898.22
0.2197134451953221,64662.90
0.2463867764862163,68884.60
0.2762982646478532,73618.83
0.3098410236788252,78927.79
0.3474558918301489,84881.26
0.3896372253553672,91545.38
0.4369393956250535,98102.96
0.4899840749945356,105456.64
0.54946840717991,113703.05
0.6161741695221309,122950.58
0.6909780475549228,133320.77
0.774863156910807,144949.90
0.8689319639927607,155917.85
0.9744207752224144,166793.29
1.0927159852908372,177404.99
1.2253722979557615,187838.76
1.374133158853473,199539.21
1.5409536688651293,212660.09
1.7280262791781624,227373.85
1.9378096057420653,243873.88
2.173060741814714,262377.01
2.436871493269328,283126.44
2.732709012887326,306394.85
3.064461367676344,332488.07
3.436488638085367,361749.01
3.8536802206922394,394562.25
4.321519087468512,431359.04
4.846153846153845,472622.97
