k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
0,320.468192,396.6608949,258.3227380295664,149.53180800000004,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
1,339.6319139,396.6608949,398.73505142731494,130.3680861000048,0.0,16.536552670389597,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.130977130988,0.0,470.0,0.0,380.1243422296104
2,355.3113195,396.6608949,520.2868704217431,0.0,355.3113195000003,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,357.0534765,396.6608949,144.61479403707912,112.94652350000004,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
4,357.0534765,396.6608949,250.9249695087272,112.94652350006874,0.0,16.536552670321157,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.130977131135,0.0,470.0,0.0,380.12434222967886,0.0
5,353.569165,396.6608949,356.70486982518776,116.4308350000054,0.0,16.536552670388858,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309895,0.0,470.0,0.0,380.12434222961116
6,355.3113195,396.6608949,465.2589781055549,0.0,355.3113195,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,383.7054617,587.1223702,89.86138084776432,86.29453830000423,0.0,206.99802797039013,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309867,0.0,470.0,0.0,380.12434222960985,0.0
8,506.9542607,781.293796,171.18844560932865,0.0,36.95426069999996,401.1694537703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
9,497.295584,781.293796,131.53258390762937,0.0,27.295583999999963,401.1694537703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
10,487.2668116,791.3176496,102.21613617909816,0.0,17.266811599999926,411.19330737039456,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
11,472.8077301,791.3176496,83.57612991183689,0.0,2.807730099998196,411.19330737039263,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309814,0.0,470.0,0.0,380.12434222960735
12,449.1472223,791.3176496,80.21113557083854,20.852777700005056,0.0,411.19330737038933,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309884,0.0,470.0,0.0,380.12434222961065
13,455.6758214,791.3176496,99.57176015846697,14.324178600004082,0.0,411.19330737039024,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309865,0.0,470.0,0.0,380.12434222960974,0.0
14,473.1244571,791.3176496,112.64911758551841,0.0,3.1244570999999155,411.19330737039456,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
15,481.4872323,779.3760622,108.80654383200194,0.0,11.48723229999996,399.25171997039456,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
16,486.1668577,779.3760622,96.20222287636795,0.0,16.166857699997024,399.25171997039143,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309839,0.0,470.0,0.0,380.12434222960854
17,488.5970503,779.3760622,78.74716560366375,0.0,18.59705029999992,399.25171997039456,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
18,498.1615104,714.0545666,58.827471926632754,0.0,28.16151039999994,333.9302243703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
19,371.1083804,585.2046364,28.964454576662774,98.89161960006463,0.0,205.0802941703256,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771311255,0.0,470.0,0.0,380.1243422296744,0.0
20,373.1786634,585.2046364,122.5326453588436,96.82133660000454,0.0,205.08029417038983,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309874,0.0,470.0,0.0,380.1243422296102,0.0
21,375.2489441,585.2046364,213.672255726056,94.75105590000427,0.0,205.08029417039006,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309869,0.0,470.0,0.0,380.12434222960997,0.0
22,348.3426941,396.6608949,302.3954016170154,121.6573059000072,0.0,16.536552670386925,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309936,0.0,470.0,0.0,380.1243422296131,0.0
23,350.084851,396.6608949,416.1731661437736,0.0,350.084851,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,350.084851,396.6608949,46.50820084104839,119.91514900000507,0.0,16.5365526703892,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309888,0.0,470.0,0.0,380.1243422296108,0.0
25,353.569165,396.6608949,159.91141058212804,116.43083500000003,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
