training_sample_size,model,r2_compared_to_milp_training_data,delta_to_milp_pred
5,MILP_pred,0.9848104956540091,0.0
5,LP_Upper,0.9749505003733556,-0.00985999528065351
5,LP_Lower,0.9848109783281885,4.826741794028422e-07
5,LP_Approx,0.9865798950077895,0.0017693993537803987
20,MILP_pred,0.982808792584455,0.0
20,LP_Upper,0.9743725909093607,-0.00843620167509429
20,LP_Lower,0.9833722388374591,0.0005634462530040851
20,LP_Approx,0.9827996312633969,-9.1613210581043e-06
40,MILP_pred,0.9823502675453061,0.0
40,LP_Upper,0.9741786124936308,-0.008171655051675275
40,LP_Lower,0.9830263635894152,0.0006760960441091202
40,LP_Approx,0.9819818145984868,-0.00036845294681930874
