training_sample_size,model,y_test,y_pred,r2_score_total,mse_total
20,opex_lp_lower,38680.89848312322,57498.754798590795,0.9849753983029943,231310167.28411064
20,opex_lp_lower,41012.33040249496,58844.606433945824,0.9849753983029943,231310167.28411064
20,opex_lp_lower,43961.93124533805,60547.30471348843,0.9849753983029943,231310167.28411064
20,opex_lp_lower,47693.60578398175,62701.46595607782,0.9849753983029943,231310167.28411064
20,opex_lp_lower,52414.71742054442,65426.79358154577,0.9849753983029943,231310167.28411064
20,opex_lp_lower,58387.6110515599,68874.72984522619,0.9849753983029943,231310167.28411064
20,opex_lp_lower,65944.19116950003,73236.87125065125,0.9849753983029943,231310167.28411064
20,opex_lp_lower,75504.36528382453,78755.61527192628,0.9849753983029943,231310167.28411064
20,opex_lp_lower,87599.37753403735,85737.63000773493,0.9849753983029943,231310167.28411064
20,opex_lp_lower,101481.38685211352,94570.89525488562,0.9849753983029943,231310167.28411064
20,opex_lp_lower,118437.99635063064,105746.26194758897,0.9849753983029943,231310167.28411064
20,opex_lp_lower,139890.57630933053,119884.72798727547,0.9849753983029943,231310167.28411064
20,opex_lp_lower,162640.88335787816,137771.9461387734,0.9849753983029943,231310167.28411064
20,opex_lp_lower,184413.8584270508,160401.88154344712,0.9849753983029943,231310167.28411064
20,opex_lp_lower,209060.1818730171,189032.04483000693,0.9849753983029943,231310167.28411064
20,opex_lp_lower,240241.3696251328,225253.37004182304,0.9849753983029943,231310167.28411064
20,opex_lp_lower,279690.1122241763,271078.6203894537,0.9849753983029943,231310167.28411064
20,opex_lp_lower,329598.5154901807,329054.2343997875,0.9849753983029943,231310167.28411064
20,opex_lp_lower,392739.91246394656,402401.8275799084,0.9849753983029943,231310167.28411064
20,opex_lp_lower,472622.9732493107,495197.21262503444,0.9849753983029943,231310167.28411064
