training_sample_size,model,y_test,y_pred,r2_score_total,mse_total
20,opex_milp,43574.7550324948,60276.05045625168,0.9866165595526066,201639980.86293367
20,opex_milp,45714.52832031821,61608.55057385032,0.9866165595526066,201639980.86293367
20,opex_milp,48405.79294356787,63294.35723940229,0.9866165595526066,201639980.86293367
20,opex_milp,51846.20567331225,65427.14813081402,0.9866165595526066,201639980.86293367
20,opex_milp,56033.96395669851,68125.43915044257,0.9866165595526066,201639980.86293367
20,opex_milp,61525.836459195765,71539.17017110951,0.9866165595526066,201639980.86293367
20,opex_milp,68556.11649501525,75858.03696371661,0.9866165595526066,201639980.86293367
20,opex_milp,77376.28682348944,81322.03229883828,0.9866165595526066,201639980.86293367
20,opex_milp,88328.25246325435,88234.78197505817,0.9866165595526066,201639980.86293367
20,opex_milp,102232.62272377528,96980.4168365883,0.9866165595526066,201639980.86293367
20,opex_milp,119574.00014746764,108044.91833218362,0.9866165595526066,201639980.86293367
20,opex_milp,141808.80489845926,122043.12375515873,0.9866165595526066,201639980.86293367
20,opex_milp,164456.5738101583,139752.89180406858,0.9866165595526066,201639980.86293367
20,opex_milp,184413.8584270505,162158.32699159783,0.9866165595526066,201639980.86293367
20,opex_milp,209060.1818730167,190504.46481543418,0.9866165595526066,201639980.86293367
20,opex_milp,240241.3696251324,226366.45646178053,0.9866165595526066,201639980.86293367
20,opex_milp,279690.1122241757,271737.09752883774,0.9866165595526066,201639980.86293367
20,opex_milp,329598.51549017994,329137.5646065066,0.9866165595526066,201639980.86293367
20,opex_milp,392739.9124639456,401757.5131733531,0.9866165595526066,201639980.86293367
20,opex_milp,472622.9732493095,493632.32183502504,0.9866165595526066,201639980.86293367
