training_sample_size,model,y_test,y_pred,r2_score_total,mse_total
40,opex_lp_upper,52117.43052001415,64954.8386730475,0.991020847881003,128662237.20615979
40,opex_lp_upper,53011.592859526,65582.49616512607,0.991020847881003,128662237.20615979
40,opex_lp_upper,54014.306991525744,66286.35161681763,0.991020847881003,128662237.20615979
40,opex_lp_upper,55138.75116243645,67075.65550170442,0.991020847881003,128662237.20615979
40,opex_lp_upper,56399.70346493717,67960.78130587368,0.991020847881003,128662237.20615979
40,opex_lp_upper,57813.73606016515,68953.36186224408,0.991020847881003,128662237.20615979
40,opex_lp_upper,59399.4329785988,70066.44223595352,0.991020847881003,128662237.20615979
40,opex_lp_upper,61177.63436208569,71314.65117011567,0.991020847881003,128662237.20615979
40,opex_lp_upper,63171.71035698521,72714.3933451842,0.991020847881003,128662237.20615979
40,opex_lp_upper,65407.86825808714,74284.06497870831,0.991020847881003,128662237.20615979
40,opex_lp_upper,67915.49693996814,76044.29559901485,0.991020847881003,128662237.20615979
40,opex_lp_upper,70727.55310250196,78018.21917034712,0.991020847881003,128662237.20615979
40,opex_lp_upper,73880.99440678341,80231.77813274179,0.991020847881003,128662237.20615979
40,opex_lp_upper,77417.26519398847,82714.06435251204,0.991020847881003,128662237.20615979
40,opex_lp_upper,81382.84117076705,85497.70146430391,0.991020847881003,128662237.20615979
40,opex_lp_upper,85829.84021973767,88619.27362968549,0.991020847881003,128662237.20615979
40,opex_lp_upper,90816.707362707,92119.80634726101,0.991020847881003,128662237.20615979
40,opex_lp_upper,96408.9828787954,96045.30563339357,0.991020847881003,128662237.20615979
40,opex_lp_upper,102680.16367251932,100447.36265975956,0.991020847881003,128662237.20615979
40,opex_lp_upper,109636.13403104804,105383.83179422976,0.991020847881003,128662237.20615979
40,opex_lp_upper,117337.87080061292,110919.59095628084,0.991020847881003,128662237.20615979
40,opex_lp_upper,125974.6025869245,117127.39427996587,0.991020847881003,128662237.20615979
40,opex_lp_upper,135659.83829161068,124088.8282906312,0.991020847881003,128662237.20615979
40,opex_lp_upper,146520.86685845797,131895.38416200515,0.991020847881003,128662237.20615979
40,opex_lp_upper,158700.4301779958,140649.66014587806,0.991020847881003,128662237.20615979
40,opex_lp_upper,171673.89273409458,150466.70997739676,0.991020847881003,128662237.20615979
40,opex_lp_upper,181411.91034992144,161475.55497749313,0.991020847881003,128662237.20615979
40,opex_lp_upper,192332.1285805199,173820.87972536555,0.991020847881003,128662237.20615979
40,opex_lp_upper,204578.06722105813,187664.9335865198,0.991020847881003,128662237.20615979
40,opex_lp_upper,218310.6694475989,203189.6630873432,0.991020847881003,128662237.20615979
40,opex_lp_upper,233710.4170249804,220599.10316110784,0.991020847881003,128662237.20615979
40,opex_lp_upper,250979.70230208017,240122.05869253457,0.991020847881003,128662237.20615979
40,opex_lp_upper,270345.48816858884,262015.1116033192,0.991020847881003,128662237.20615979
40,opex_lp_upper,292062.29093197733,286565.99299947167,0.991020847881003,128662237.20615979
40,opex_lp_upper,316415.5253173449,314097.36469916883,0.991020847881003,128662237.20615979
40,opex_lp_upper,343725.2555520593,344971.0598401369,0.991020847881003,128662237.20615979
40,opex_lp_upper,374350.4018341073,379592.8382990698,0.991020847881003,128662237.20615979
40,opex_lp_upper,408693.4574679792,418417.7194215383,0.991020847881003,128662237.20615979
40,opex_lp_upper,447205.7786634079,461955.96214820235,0.991020847881003,128662237.20615979
40,opex_lp_upper,490393.51651854016,510779.7711315849,0.991020847881003,128662237.20615979
