time [h],hourly electricity demand [kW],hourly heat demand [kW]
1,396.6608949,320.468192
2,396.6608949,339.6319139
3,396.6608949,355.3113195
4,396.6608949,357.0534765
5,396.6608949,357.0534765
6,396.6608949,353.569165
7,396.6608949,355.3113195
8,587.1223702,383.7054617
9,781.293796,506.9542607
10,781.293796,497.295584
11,791.3176496,487.2668116
12,791.3176496,472.8077301
13,791.3176496,449.1472223
14,791.3176496,455.6758214
15,791.3176496,473.1244571
16,779.3760622,481.4872323
17,779.3760622,486.1668577
18,779.3760622,488.5970503
19,714.0545666,498.1615104
20,585.2046364,371.1083804
21,585.2046364,373.1786634
22,585.2046364,375.2489441
23,396.6608949,348.3426941
24,396.6608949,350.084851
25,396.6608949,350.084851
26,396.6608949,353.569165
27,396.6608949,355.3113195
28,396.6608949,357.0534765
29,396.6608949,362.279945
30,396.6608949,364.022102
31,396.6608949,364.022102
32,587.1223702,398.210111
33,781.293796,525.2319391
34,781.293796,518.7740505
35,791.3176496,513.0255398
36,791.3176496,505.2914575
37,791.3176496,489.3713909
38,791.3176496,482.3716511
39,791.3176496,493.9611443
40,779.3760622,505.3895853
41,779.3760622,516.1118787
42,779.3760622,528.6186163
43,714.0545666,531.5059581
44,585.2046364,402.1626028
45,585.2046364,402.1626028
46,585.2046364,398.0220389
47,396.6608949,370.9907276
48,396.6608949,377.9593531
49,396.6608949,381.4436671
50,396.6608949,386.6701356
51,396.6608949,384.9279786
52,396.6608949,384.9279786
53,396.6608949,381.4436671
54,396.6608949,381.4436671
55,396.6608949,383.1858216
56,587.1223702,421.0031304
57,781.293796,549.5079332
58,781.293796,524.1485906
59,791.3176496,508.9603391
60,791.3176496,495.7810111
61,791.3176496,476.4819936
62,791.3176496,482.171696
63,791.3176496,495.1631036
64,779.3760622,515.3563626
65,779.3760622,518.6132248
66,779.3760622,518.6132248
67,714.0545666,526.7424659
68,585.2046364,391.8111945
69,585.2046364,389.7409138
70,585.2046364,389.7409138
71,396.6608949,357.0534765
72,396.6608949,357.0534765
73,396.6608949,360.5377905
74,396.6608949,357.0534765
75,396.6608949,364.022102
76,396.6608949,353.569165
77,396.6608949,358.7956335
78,396.6608949,365.764259
79,396.6608949,381.4436671
80,587.1223702,410.6426673
81,781.293796,541.2815198
82,781.293796,510.2371802
83,791.3176496,470.167779
84,791.3176496,453.1732935
85,791.3176496,456.6195372
86,791.3176496,462.0876488
87,791.3176496,460.9349327
88,779.3760622,488.5970503
89,779.3760622,503.6051387
90,779.3760622,516.1118787
91,714.0545666,536.2694503
92,585.2046364,404.2328834
93,585.2046364,418.7248531
94,585.2046364,414.5842893
95,396.6608949,372.7328846
96,396.6608949,367.506416
97,396.6608949,372.7328846
98,396.6608949,365.764259
99,396.6608949,377.9593531
100,396.6608949,360.5377905
101,396.6608949,362.279945
102,396.6608949,346.6005395
103,396.6608949,353.569165
104,396.6608949,352.4361953
105,396.6608949,348.135434
106,396.6608949,312.5361524
107,396.6608949,300.9302561
108,396.6608949,267.7250826
109,396.6608949,253.5148143
110,396.6608949,249.9992176
111,396.6608949,287.3005279
112,396.6608949,308.5140356
113,396.6608949,328.5745047
114,396.6608949,332.0588187
115,396.6608949,339.4851783
116,396.6608949,350.6940407
117,396.6608949,354.1783523
118,396.6608949,382.0528543
119,396.6608949,400.6073867
120,396.6608949,414.5446376
121,396.6608949,404.0916982
122,396.6608949,423.2554178
123,396.6608949,444.1612943
124,396.6608949,426.7397318
125,396.6608949,412.8024807
126,396.6608949,430.2240433
127,396.6608949,451.1299199
128,396.6608949,446.512641
129,396.6608949,436.8855768
130,396.6608949,401.3612252
131,396.6608949,326.6620243
132,396.6608949,340.0834718
133,396.6608949,311.7575129
134,396.6608949,311.4263396
135,396.6608949,323.8435229
136,396.6608949,356.797806
137,396.6608949,359.9333208
138,396.6608949,361.6754753
139,396.6608949,355.1645864
140,396.6608949,366.3734463
141,396.6608949,364.6312917
142,396.6608949,352.4361953
143,396.6608949,357.0534765
144,396.6608949,350.084851
145,396.6608949,339.6319139
146,396.6608949,339.6319139
147,396.6608949,336.1475999
148,396.6608949,308.2730979
149,396.6608949,315.2417234
150,396.6608949,316.9838804
151,396.6608949,310.0152548
152,587.1223702,323.6147762
153,781.293796,421.0917485
154,781.293796,388.4932398
155,791.3176496,366.8639963
156,791.3176496,363.3020447
157,791.3176496,371.3088048
158,791.3176496,362.1603162
159,791.3176496,368.678828
160,779.3760622,378.2613376
161,779.3760622,379.3416029
162,779.3760622,374.7201866
163,714.0545666,385.7629064
164,585.2046364,269.3108426
165,585.2046364,273.1409495
166,585.2046364,278.8861098
167,396.6608949,270.9037174
168,396.6608949,269.3167901
