k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,Qin_B1,Qout_B1,Qin_CHP1,Qout_CHP1,Pout_CHP1,Qin_B2,Qout_B2,Qin_CHP2,Qout_CHP2,Pout_CHP2
0,320.468192,396.6608949,0.0,0.0,0.0,163.7826825771649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.0283373733781,320.468192,232.8782123228351
1,339.6319139,396.6608949,0.0,0.0,0.0,149.85676603090135,0.0,0.0,682.54067732237,339.6319139,246.80412886909866,0.0,0.0,0.0,0.0,0.0
2,355.3113195,396.6608949,0.0,0.0,0.0,138.4628366564296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.0507671585896,355.3113195,258.1980582435704
3,357.0534765,396.6608949,0.0,0.0,0.0,137.1968439062171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.5518899038802,357.0534765,259.4640509937829
4,357.0534765,396.6608949,0.0,0.0,0.0,137.1968439062171,0.0,0.0,717.5518899038802,357.0534765,259.4640509937829,0.0,0.0,0.0,0.0,0.0
5,353.569165,396.6608949,0.0,0.0,0.0,139.7288275899391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.5496494374194,353.569165,256.9320673100609
6,355.3113195,396.6608949,0.0,0.0,0.0,138.4628366564296,0.0,0.0,714.0507671585896,355.3113195,258.1980582435704,0.0,0.0,0.0,0.0,0.0
7,383.7054617,587.1223702,0.0,0.0,0.0,308.2908224524966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.1130049990591,383.7054617,278.83154774750335
8,506.9542607,781.293796,0.0,0.0,0.0,412.89966232803636,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311,0.0,0.0,41.668759608484116,20.734354809719775,15.067265963652703
9,497.295584,781.293796,0.0,0.0,0.0,419.91844116303605,0.0,0.0,22.258216997353504,11.075678109719775,8.048487128653,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311
10,487.2668116,791.3176496,0.0,0.0,0.0,437.23001518773447,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311,0.0,0.0,2.103912214843148,1.0469057097197378,0.7607667039545114
11,472.8077301,791.3176496,0.0,0.0,0.0,447.7371579732194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.1772216868997,472.8077301,343.5804916267806
12,449.1472223,791.3176496,0.0,0.0,0.0,464.93080432148,0.0,0.0,902.6279238775126,449.1472223,326.38684527851996,0.0,0.0,0.0,0.0,0.0
13,455.6758214,791.3176496,0.0,0.0,0.0,460.18659405246063,0.0,0.0,915.7481115551412,455.6758214,331.13105554753935,0.0,0.0,0.0,0.0,0.0
14,473.1244571,791.3176496,0.0,0.0,0.0,447.50699841481185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.8137315443623,473.1244571,343.81065118518814
15,481.4872323,779.3760622,0.0,0.0,0.0,429.4883394449952,0.0,0.0,967.619967989455,481.4872323,349.8877227550048,0.0,0.0,0.0,0.0,0.0
16,486.1668577,779.3760622,0.0,0.0,0.0,426.0877436145905,0.0,0.0,977.0243689288537,486.1668577,353.28831858540946,0.0,0.0,0.0,0.0,0.0
17,488.5970503,779.3760622,0.0,0.0,0.0,424.32176832463665,0.0,0.0,4.777224074357496,2.377144409719733,1.7274261670523376,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311
18,498.1615104,714.0545666,0.0,0.0,0.0,352.04995932217247,0.0,0.0,23.99842446131205,11.941604509719753,8.677739569516596,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311
19,371.1083804,585.2046364,0.0,0.0,0.0,315.5271508866338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.79730276114,371.1083804,269.6774855133662
20,373.1786634,585.2046364,0.0,0.0,0.0,314.0227151389439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.9578433441579,373.1786634,271.1819212610561
21,375.2489441,585.2046364,0.0,0.0,0.0,312.51828106262076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.118379304985,375.2489441,272.68635533737927
22,348.3426941,396.6608949,0.0,0.0,0.0,143.5268057679085,0.0,0.0,700.0462814025121,348.3426941,253.1340891320915,0.0,0.0,0.0,0.0,0.0
23,350.084851,396.6608949,0.0,0.0,0.0,142.26081309036414,0.0,0.0,703.547403946838,350.084851,254.40008180963588,0.0,0.0,0.0,0.0,0.0
24,350.084851,396.6608949,0.0,0.0,0.0,142.26081309036414,0.0,0.0,703.547403946838,350.084851,254.40008180963588,0.0,0.0,0.0,0.0,0.0
25,353.569165,396.6608949,0.0,0.0,0.0,139.7288275899391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.5496494374194,353.569165,256.9320673100609
26,355.3113195,396.6608949,0.0,0.0,0.0,138.4628366564296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.0507671585896,355.3113195,258.1980582435704
27,357.0534765,396.6608949,0.0,0.0,0.0,137.1968439062171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.5518899038802,357.0534765,259.4640509937829
28,362.279945,396.6608949,0.0,0.0,0.0,133.39886747228252,0.0,0.0,728.0552531156318,362.279945,263.2620274277175,0.0,0.0,0.0,0.0,0.0
