k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qout_B1,Qin_CHP1,Qout_CHP1,Pout_CHP1,Qin_B2,Qout_B2,Qin_CHP2,Qout_CHP2,Pout_CHP2
0,320.468192,396.6608949,0.0,0.0,0.0,137.47417002870026,0.0,0.0,0.0,0.6818472170212765,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.2540374220374,320.468192,259.18672487129976
1,339.6319139,396.6608949,0.0,0.0,0.0,121.97502708846923,0.0,0.0,0.0,0.7226210934042552,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.0954550935551,339.6319139,274.6858678115308
2,355.3113195,396.6608949,0.0,0.0,0.0,109.29391274750924,0.0,0.0,0.0,0.7559815308510638,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.692971933472,355.3113195,287.3669821524908
3,357.0534765,396.6608949,0.0,0.0,0.0,107.88489937796521,0.0,0.0,0.0,0.7596882478723403,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.3149199584199,357.0534765,288.7759955220348
4,357.0534765,396.6608949,0.0,0.0,0.0,107.88489937796521,0.0,0.0,0.0,0.7596882478723403,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.3149199584199,357.0534765,288.7759955220348
5,353.569165,396.6608949,0.0,0.0,0.0,110.70292409511535,0.0,0.0,0.0,0.7522748191489361,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0710291060291,353.569165,285.95797080488467
6,355.3113195,396.6608949,0.0,0.0,0.0,109.29391274750924,0.0,0.0,0.0,0.7559815308510638,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.692971933472,355.3113195,287.3669821524908
7,383.7054617,587.1223702,0.0,0.0,0.0,276.7909101178307,0.0,0.0,0.816394599361702,0.0,0.0,1.0,0.0,0.0,797.7244525987527,383.7054617,310.33146008216926,0.0,0.0,0.0,0.0,0.0
8,506.9542607,781.293796,0.0,0.0,0.0,371.28176432109916,0.0,0.0,1.0,0.07862608659574472,0.0,1.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,76.82798482328487,36.95426070000002,29.887689449295454
9,497.295584,781.293796,0.0,0.0,0.0,379.09346246449473,0.0,0.0,1.0,0.0580757106382979,0.0,1.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,56.74757588357593,27.29558400000002,22.07599130589989
10,487.2668116,791.3176496,0.0,0.0,0.0,397.22833843028286,0.0,0.0,1.0,0.036737897021276555,0.0,1.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,35.89773721413718,17.266811599999983,13.96496894011173
11,472.8077301,791.3176496,0.0,0.0,0.0,408.9224849077972,0.0,0.0,1.0,0.005973893829787264,0.0,1.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,5.837276715176746,2.8077301000000148,2.2708224625973825
12,449.1472223,791.3176496,0.0,0.0,0.0,428.0585167467194,0.0,0.0,0.9556323878723404,0.0,0.0,1.0,0.0,0.0,933.778008939709,449.1472223,363.25913285328056,0.0,0.0,0.0,0.0,0.0
13,455.6758214,791.3176496,0.0,0.0,0.0,422.778347728489,0.0,0.0,0.0,0.969523024255319,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.3509800415801,455.6758214,368.539301871511
