k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qout_B1,Qin_CHP1,Qout_CHP1,Pout_CHP1,Qin_B2,Qout_B2,Qin_CHP2,Qout_CHP2,Pout_CHP2
0,320.468192,396.6608949,0.0,0.0,0.0,176.4983642402062,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,633.3570067650068,320.468192,220.16253065979382,0.0,0.0,0.0,0.0,0.0
1,339.6319139,396.6608949,0.0,0.0,0.0,155.99795223726923,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,677.4144474705474,339.6319139,240.66294266273079,0.0,0.0,0.0,0.0,0.0
2,355.3113195,396.6608949,0.0,0.0,0.0,139.2248913236083,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,713.461436991937,355.3113195,257.4360035763917,0.0,0.0,0.0,0.0,0.0
3,357.0534765,396.6608949,0.0,0.0,0.0,137.36121700918397,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,717.46665994016,357.0534765,259.29967789081604,0.0,0.0,0.0,0.0,0.0
4,357.0534765,396.6608949,0.0,0.0,0.0,137.36121700918397,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,717.46665994016,357.0534765,259.29967789081604,0.0,0.0,0.0,0.0,0.0
5,353.569165,396.6608949,0.0,0.0,0.0,141.08856296365488,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,709.4562197912198,353.569165,255.57233193634514,0.0,0.0,0.0,0.0,0.0
6,355.3113195,396.6608949,0.0,0.0,0.0,139.2248913236083,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,713.461436991937,355.3113195,257.4360035763917,0.0,0.0,0.0,0.0,0.0
7,383.7054617,587.1223702,0.0,0.0,0.0,299.3117026304942,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,778.7396351879352,383.7054617,287.81066756950577,0.0,0.0,0.0,0.0,0.0
8,506.9542607,781.293796,0.0,0.0,0.0,475.0312072483231,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,818.3946637439639,400.9542607,306.26258875167696,0.0,0.0,0.0,0.0,0.0
9,497.295584,781.293796,0.0,0.0,0.0,485.3635869805279,1.0,0.0,1.0,0.0,0.0,1.0,114.6125,106.00000000000001,796.1893438053439,391.295584,295.93020901947216,0.0,0.0,0.0,0.0,0.0
10,487.2668116,791.3176496,0.0,0.0,0.0,506.1157305837178,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,773.133173001573,381.2668116,285.2019190162822,0.0,0.0,0.0,0.0,0.0
11,472.8077301,791.3176496,0.0,0.0,0.0,521.5833484859606,1.0,0.0,1.0,0.0,0.0,1.0,114.6125,106.00000000000001,739.8917113916115,366.8077301,269.73430111403934,0.0,0.0,0.0,0.0,0.0
12,449.1472223,791.3176496,0.0,0.0,0.0,433.5005886222508,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,929.1903932580933,449.1472223,357.8170609777492,0.0,0.0,0.0,0.0,0.0
13,455.6758214,791.3176496,0.0,0.0,0.0,426.51661275104993,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,944.1996575982577,455.6758214,364.80103684895005,0.0,0.0,0.0,0.0,0.0
14,473.1244571,791.3176496,0.0,0.0,0.0,521.2445294388917,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,740.6198674927674,367.1244571,270.07312016110825,0.0,0.0,0.0,0.0,0.0
15,481.4872323,779.3760622,0.0,0.0,0.0,500.3568543226039,1.0,0.0,1.0,0.0,0.0,1.0,114.6125,106.00000000000001,759.845906903607,375.4872323,279.01920787739607,0.0,0.0,0.0,0.0,0.0
16,486.1668577,779.3760622,0.0,0.0,0.0,495.3508200449197,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,770.6043764566764,380.1668577,284.02524215508026,0.0,0.0,0.0,0.0,0.0
17,488.5970503,779.3760622,0.0,0.0,0.0,492.7511189113685,1.0,0.0,1.0,0.0,0.0,1.0,114.6125,106.00000000000001,776.1913948310948,382.5970503,286.62494328863147,0.0,0.0,0.0,0.0,0.0
18,498.1615104,714.0545666,0.0,0.0,0.0,417.19803188780213,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,798.1801105897106,392.1615104,296.8565347121979,0.0,0.0,0.0,0.0,0.0
19,371.1083804,585.2046364,0.0,0.0,0.0,310.8697100269105,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,749.7789163185163,371.1083804,274.3349263730895,0.0,0.0,0.0,0.0,0.0
20,373.1786634,585.2046364,0.0,0.0,0.0,308.65502257297305,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,754.5385016951018,373.1786634,276.549613827027,0.0,0.0,0.0,0.0,0.0
21,375.2489441,585.2046364,0.0,0.0,0.0,306.44033757946306,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,759.2980817839818,375.2489441,278.76429882053696,0.0,0.0,0.0,0.0,0.0
22,348.3426941,396.6608949,0.0,0.0,0.0,146.67958579995272,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,697.4405511764512,348.3426941,249.9813091000473,0.0,0.0,0.0,0.0,0.0
23,350.084851,396.6608949,0.0,0.0,0.0,144.8159115925035,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,701.445773894774,350.084851,251.8449833074965,0.0,0.0,0.0,0.0,0.0
24,350.084851,396.6608949,0.0,0.0,0.0,144.8159115925035,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,701.445773894774,350.084851,251.8449833074965,0.0,0.0,0.0,0.0,0.0
25,353.569165,396.6608949,0.0,0.0,0.0,141.08856296365488,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,709.4562197912198,353.569165,255.57233193634514,0.0,0.0,0.0,0.0,0.0
26,355.3113195,396.6608949,0.0,0.0,0.0,139.2248913236083,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,713.461436991937,355.3113195,257.4360035763917,0.0,0.0,0.0,0.0,0.0
27,357.0534765,396.6608949,0.0,0.0,0.0,137.36121700918397,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,717.46665994016,357.0534765,259.29967789081604,0.0,0.0,0.0,0.0,0.0
28,362.279945,396.6608949,0.0,0.0,0.0,131.77019674028872,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,729.4823230373231,362.279945,264.8906981597113,0.0,0.0,0.0,0.0,0.0
29,364.022102,396.6608949,0.0,0.0,0.0,129.9065224258643,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,733.487545985546,364.022102,266.7543724741357,0.0,0.0,0.0,0.0,0.0
30,364.022102,396.6608949,0.0,0.0,0.0,129.9065224258643,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,733.487545985546,364.022102,266.7543724741357,0.0,0.0,0.0,0.0,0.0
31,398.210111,587.1223702,0.0,0.0,0.0,283.7953385254551,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,812.0858572748573,398.210111,303.32703167454486,0.0,0.0,0.0,0.0,0.0
32,525.2319391,781.293796,0.0,0.0,0.0,455.4786412273571,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,860.4150884059884,419.2319391,325.8151547726429,0.0,0.0,0.0,0.0,0.0
