k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
0,320.468192,396.6608949,415.4729677643675,0.0,0.0,176.4983642402062,-0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,633.3570067650068,0.0,320.468192,0.0,220.16253065979382
1,339.6319139,396.6608949,536.9413606792186,130.36808610000702,0.0,16.536552670387152,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309932,0.0,470.0,0.0,380.12434222961286,0.0
2,355.3113195,396.6608949,161.18491255857384,0.0,355.3113195000003,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,357.0534765,396.6608949,267.412395306753,112.94652350000638,0.0,16.536552670387834,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309917,0.0,470.0,0.0,380.1243422296122
4,357.0534765,396.6608949,373.1100662744168,112.94652350000655,0.0,16.536552670387664,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.130977130992,0.0,470.0,0.0,380.12434222961235,0.0
5,353.569165,396.6608949,0.0,0.0,353.5691650000001,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,355.3113195,396.6608949,59.10612710046405,62.37264795361683,0.0,72.50168445201979,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,856.8562980321632,0.0,417.68396745361684,0.0,324.15921044798023,0.0
7,383.7054617,587.1223702,140.58653707424972,86.29453830000645,0.0,206.99802797038774,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309918,0.0,470.0,0.0,380.12434222961224
8,506.9542607,781.293796,101.08322318267625,0.0,36.954260699994165,401.1694537703884,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309906,0.0,470.0,0.0,380.12434222961167,0.0
9,497.295584,781.293796,71.91858573581207,0.0,27.295583999993823,401.16945377038803,-0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309914,0.0,470.0,0.0,380.124342229612
10,487.2668116,791.3176496,53.42966247596208,0.0,17.266811599999926,411.19330737039456,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
11,472.8077301,791.3176496,50.21505201840749,0.0,2.807730099999958,411.19330737039456,-0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
12,449.1472223,791.3176496,69.72529930876374,20.85277770000608,0.0,411.1933073703881,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309911,0.0,470.0,0.0,380.1243422296119
13,455.6758214,791.3176496,82.95154930256511,14.324178600006015,0.0,411.19330737038814,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.130977130991,0.0,470.0,0.0,380.12434222961184,0.0
14,473.1244571,791.3176496,79.25713308277531,0.0,3.124457099997528,411.193307370392,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309827,0.0,470.0,0.0,380.124342229608,0.0
15,481.4872323,779.3760622,66.80019224771421,0.0,11.48723229999996,399.25171997039456,-0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
