k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
0,320.468192,396.6608949,0.0,0.0,0.0,396.6608949,0.0,396.717246843278,0.0,320.468192,0.0,0.0,0.0,0.0,0.0,0.0
1,339.6319139,396.6608949,0.0,0.0,0.0,396.6608949,420.4405965585541,0.0,339.6319139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,355.3113195,396.6608949,0.0,0.0,0.0,396.6608949,0.0,439.85060596682354,0.0,355.3113195,0.0,0.0,0.0,0.0,0.0,0.0
3,357.0534765,396.6608949,0.0,0.0,0.0,396.6608949,442.0072746967071,0.0,357.0534765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,357.0534765,396.6608949,0.0,0.0,0.0,396.6608949,442.0072746967071,0.0,357.0534765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,353.569165,396.6608949,0.0,0.0,0.0,396.6608949,0.0,437.6939403317653,0.0,353.569165,0.0,0.0,0.0,0.0,0.0,0.0
6,355.3113195,396.6608949,0.0,0.0,0.0,396.6608949,0.0,439.85060596682354,0.0,355.3113195,0.0,0.0,0.0,0.0,0.0,0.0
7,383.7054617,587.1223702,0.0,0.0,0.0,587.1223702,475.0005715523645,0.0,383.7054617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,506.9542607,781.293796,0.0,0.0,0.0,781.293796,0.0,627.5739795741521,0.0,506.9542607,0.0,0.0,0.0,0.0,0.0,0.0
9,497.295584,781.293796,0.0,0.0,0.0,781.293796,0.0,615.6172121812331,0.0,497.295584,0.0,0.0,0.0,0.0,0.0,0.0
10,487.2668116,791.3176496,0.0,0.0,0.0,791.3176496,0.0,603.2022921515227,0.0,487.2668116,0.0,0.0,0.0,0.0,0.0,0.0
11,472.8077301,791.3176496,0.0,0.0,0.0,791.3176496,0.0,585.302958776925,0.0,472.8077301,0.0,0.0,0.0,0.0,0.0,0.0
12,449.1472223,791.3176496,0.0,0.0,0.0,791.3176496,0.0,556.0129020797227,0.0,449.1472223,0.0,0.0,0.0,0.0,0.0,0.0
13,455.6758214,791.3176496,0.0,0.0,0.0,791.3176496,564.0948519435505,0.0,455.6758214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,473.1244571,791.3176496,0.0,0.0,0.0,791.3176496,0.0,585.6950446892795,0.0,473.1244571,0.0,0.0,0.0,0.0,0.0,0.0
15,481.4872323,779.3760622,0.0,0.0,0.0,779.3760622,0.0,596.0475765040852,0.0,481.4872323,0.0,0.0,0.0,0.0,0.0,0.0
16,486.1668577,779.3760622,0.0,0.0,0.0,779.3760622,601.8406260212925,0.0,486.1668577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,488.5970503,779.3760622,0.0,0.0,0.0,779.3760622,604.8490347858381,0.0,488.5970503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,498.1615104,714.0545666,0.0,0.0,0.0,714.0545666,616.6891686060907,0.0,498.1615104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,371.1083804,585.2046364,0.0,0.0,0.0,585.2046364,0.0,459.4062644218866,0.0,371.1083804,0.0,0.0,0.0,0.0,0.0,0.0
