k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
0,320.468192,396.6608949,82.03233840240044,0.0,0.0,396.6608949,1.0,1.0,0.0,-0.0,254.7737418499999,114.6125,214.46819199999996,106.0,0.0,0.0,0.0,0.0,0.0,0.0
1,339.6319139,396.6608949,81.62320040774554,0.0,77.34834683224011,396.6608949,1.0,1.0,0.0,0.0,179.5882968203709,114.6125,156.28356706775986,106.0,0.0,0.0,0.0,0.0,0.0,0.0
2,355.3113195,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,299.79759566640627,114.6125,249.31131950000005,106.0,0.0,0.0,0.0,0.0,0.0,0.0
3,357.0534765,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,302.04878916484614,114.61249999999752,251.0534765000019,106.0,0.0,0.0,0.0,0.0,0.0,0.0
4,357.0534765,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,302.04878916484614,114.61249999999752,251.0534765000019,106.0,0.0,0.0,0.0,0.0,0.0,0.0
5,353.569165,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,297.5464053984398,114.61249999999767,247.5691650000018,106.0,0.0,0.0,0.0,0.0,0.0,0.0
6,355.3113195,396.6608949,0.0,191.2090181811017,0.0,161.46606636554978,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,665.6629219917749,0.0,334.5203376811017,0.0,235.19482853445024,0.0
7,383.7054617,587.1223702,181.1952017777558,0.0,171.70546169999994,587.1223702,1.0,1.0,0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
8,506.9542607,781.293796,0.0,0.0,0.0,588.4248206419364,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,574.7004200497202,0.0,294.9542607,0.0,192.86897535806358,0.0
9,497.295584,781.293796,0.0,6.976767385589596,0.0,591.293796,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,568.534704370175,0.0,292.2723513855896,0.0,190.0,0.0
10,487.2668116,791.3176496,6.611386775654271,48.225036496632114,0.0,567.9205595962746,1.0,1.0,-0.0,1.0,114.6125,114.6125,106.0,106.0,0.0,640.3083990825563,0.0,323.4918480966321,0.0,223.39709000372534
11,472.8077301,791.3176496,52.2778532090609,209.19226990000004,0.0,411.19330737039456,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
12,449.1472223,791.3176496,250.25376811110968,0.0,237.1472223,791.3176496,1.0,1.0,-0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
13,455.6758214,791.3176496,0.0,48.59652998559185,0.0,601.3176495999999,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,568.53470437018,0.0,292.27235138559183,0.0,190.0,0.0
14,473.1244571,791.3176496,46.05147884864967,31.147894285591143,0.0,601.3176496,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,568.534704370166,0.0,292.2723513855846,0.0,190.0,0.0
15,481.4872323,779.3760622,75.33844260184628,22.785119085591365,0.0,589.3760622,1.0,1.0,0.0,1.0,114.6125,114.6125,106.0,106.0,0.0,568.5347043701428,0.0,292.2723513855727,0.0,190.0
16,486.1668577,779.3760622,96.55452910372696,18.105493685591853,0.0,589.3760622,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,568.53470437018,0.0,292.27235138559183,0.0,190.0,0.0
