mode,formulation,split,r2
1D_log,opex_milp,train,0.9858698643209349
1D_log,opex_milp,test,0.9638168825810514
1D_log,opex_lp_lower,train,0.9841513055158937
1D_log,opex_lp_lower,test,0.9608573150483266
1D_log,opex_lp_upper,train,0.9895322421978306
1D_log,opex_lp_upper,test,0.9736985032745887
1D_log,opex_lp_approx,train,0.9832873053952116
1D_log,opex_lp_approx,test,0.9580351099267422
1D_angle,opex_milp,train,0.9835177197900462
1D_angle,opex_milp,test,0.9738152927899361
1D_angle,opex_lp_lower,train,0.9820962700886269
1D_angle,opex_lp_lower,test,0.9725399106174808
1D_angle,opex_lp_upper,train,0.987780300460883
1D_angle,opex_lp_upper,test,0.9806973687706035
1D_angle,opex_lp_approx,train,0.9818982698327001
1D_angle,opex_lp_approx,test,0.9720725678107057
2D,opex_milp,train,0.964253897419063
2D,opex_milp,test,0.9719030693392161
2D,opex_lp_lower,train,0.9598033491818384
2D,opex_lp_lower,test,0.9691637506847223
2D,opex_lp_upper,train,0.97505903455802
2D,opex_lp_upper,test,0.9800503584366611
2D,opex_lp_approx,train,0.9560463035471815
2D,opex_lp_approx,test,0.9658962469133501
2D_noY,opex_milp,train,0.957863789456631
2D_noY,opex_milp,test,0.9638255664327787
2D_noY,opex_lp_lower,train,0.953059928537753
2D_noY,opex_lp_lower,test,0.9613149072512088
2D_noY,opex_lp_upper,train,0.9706557758906165
2D_noY,opex_lp_upper,test,0.9744341806577538
2D_noY,opex_lp_approx,train,0.9490408896093925
2D_noY,opex_lp_approx,test,0.9581013181967933
1D_eqv,opex_milp,train,0.9773196511296599
1D_eqv,opex_milp,test,0.9750600466453219
1D_eqv,opex_lp_lower,train,0.975523976209455
1D_eqv,opex_lp_lower,test,0.973858055508674
1D_eqv,opex_lp_upper,train,0.9834726980480575
1D_eqv,opex_lp_upper,test,0.9816373757182668
1D_eqv,opex_lp_approx,train,0.9751017662426085
1D_eqv,opex_lp_approx,test,0.9733141362679673
