mode,formulation,split,r2
1D_log,opex_milp,train,0.9858698643209349
1D_log,opex_milp,test,0.9542852743350961
1D_log,opex_lp_lower,train,0.9841513055158937
1D_log,opex_lp_lower,test,0.9511804896322406
1D_log,opex_lp_upper,train,0.9895322421978306
1D_log,opex_lp_upper,test,0.9663412336669261
1D_log,opex_lp_approx,train,0.9832873053952116
1D_log,opex_lp_approx,test,0.946409003839959
1D_angle,opex_milp,train,0.9835177197900462
1D_angle,opex_milp,test,0.9682476480740744
1D_angle,opex_lp_lower,train,0.9820962700886269
1D_angle,opex_lp_lower,test,0.9667814643738271
1D_angle,opex_lp_upper,train,0.987780300460883
1D_angle,opex_lp_upper,test,0.9763683220593228
1D_angle,opex_lp_approx,train,0.9818982698327001
1D_angle,opex_lp_approx,test,0.9648354710673137
1D_angle_weighted,opex_milp,train,0.9647751911958711
1D_angle_weighted,opex_milp,test,0.9602689797391047
1D_angle_weighted,opex_lp_lower,train,0.9606950716190082
1D_angle_weighted,opex_lp_lower,test,0.9571793664814463
1D_angle_weighted,opex_lp_upper,train,0.9741627558255749
1D_angle_weighted,opex_lp_upper,test,0.9710101767237049
1D_angle_weighted,opex_lp_approx,train,0.958691999673444
1D_angle_weighted,opex_lp_approx,test,0.9511107254550127
2D,opex_milp,train,0.964253897419063
2D,opex_milp,test,0.9651546171820753
2D,opex_lp_lower,train,0.9598033491818384
2D,opex_lp_lower,test,0.9633568308024055
2D,opex_lp_upper,train,0.97505903455802
2D,opex_lp_upper,test,0.9752537970075
2D,opex_lp_approx,train,0.9560463035471815
2D,opex_lp_approx,test,0.9594173440007043
2D_noY,opex_milp,train,0.957863789456631
2D_noY,opex_milp,test,0.9597524284768416
2D_noY,opex_lp_lower,train,0.953059928537753
2D_noY,opex_lp_lower,test,0.9574046248527844
2D_noY,opex_lp_upper,train,0.9706557758906165
2D_noY,opex_lp_upper,test,0.971496992134238
2D_noY,opex_lp_approx,train,0.9490408896093925
2D_noY,opex_lp_approx,test,0.9528471354107896
1D_eqv,opex_milp,train,0.9773196511296599
1D_eqv,opex_milp,test,0.9705026654260265
1D_eqv,opex_lp_lower,train,0.975523976209455
1D_eqv,opex_lp_lower,test,0.9692253561285024
1D_eqv,opex_lp_upper,train,0.9834726980480575
1D_eqv,opex_lp_upper,test,0.9780358616961322
1D_eqv,opex_lp_approx,train,0.9751017662426085
1D_eqv,opex_lp_approx,test,0.967213600930876
