mode,formulation,split,r2
1D_log,opex_milp,train,0.9858698643209349
1D_log,opex_milp,test,0.947805310755989
1D_log,opex_lp_lower,train,0.9841513055158937
1D_log,opex_lp_lower,test,0.9454845560659914
1D_log,opex_lp_upper,train,0.9895322421978306
1D_log,opex_lp_upper,test,0.9618484092336367
1D_log,opex_lp_approx,train,0.9832873053952116
1D_log,opex_lp_approx,test,0.9392504439039732
1D_angle,opex_milp,train,0.9835177197900462
1D_angle,opex_milp,test,0.9648738130942104
1D_angle,opex_lp_lower,train,0.9820962700886269
1D_angle,opex_lp_lower,test,0.9645468528182167
1D_angle,opex_lp_upper,train,0.987780300460883
1D_angle,opex_lp_upper,test,0.9739580191547896
1D_angle,opex_lp_approx,train,0.9818982698327001
1D_angle,opex_lp_approx,test,0.9625239987065668
1D_angle_weighted,opex_milp,train,0.9647751911958711
1D_angle_weighted,opex_milp,test,0.9473509306613866
1D_angle_weighted,opex_lp_lower,train,0.9606950716190082
1D_angle_weighted,opex_lp_lower,test,0.9437071070816355
1D_angle_weighted,opex_lp_upper,train,0.9741627558255749
1D_angle_weighted,opex_lp_upper,test,0.9616054217369018
1D_angle_weighted,opex_lp_approx,train,0.958691999673444
1D_angle_weighted,opex_lp_approx,test,0.9362491878898358
2D,opex_milp,train,0.964253897419063
2D,opex_milp,test,0.9541806422775145
2D,opex_lp_lower,train,0.9598033491818384
2D,opex_lp_lower,test,0.9515914671630293
2D,opex_lp_upper,train,0.97505903455802
2D,opex_lp_upper,test,0.9672988439861705
2D,opex_lp_approx,train,0.9560463035471815
2D,opex_lp_approx,test,0.9464532365350284
2D_noY,opex_milp,train,0.957863789456631
2D_noY,opex_milp,test,0.9539017587943085
2D_noY,opex_lp_lower,train,0.953059928537753
2D_noY,opex_lp_lower,test,0.9516420702571161
2D_noY,opex_lp_upper,train,0.9706557758906165
2D_noY,opex_lp_upper,test,0.9674742294823413
2D_noY,opex_lp_approx,train,0.9490408896093925
2D_noY,opex_lp_approx,test,0.9471123548442206
1D_eqv,opex_milp,train,0.9773196511296599
1D_eqv,opex_milp,test,0.9663429455770157
1D_eqv,opex_lp_lower,train,0.975523976209455
1D_eqv,opex_lp_lower,test,0.9661055239222891
1D_eqv,opex_lp_upper,train,0.9834726980480575
1D_eqv,opex_lp_upper,test,0.9749717584209968
1D_eqv,opex_lp_approx,train,0.9751017662426085
1D_eqv,opex_lp_approx,test,0.9642200866450221
