mode,formulation,split,r2_vs_milp
1D_log,opex_milp,train,0.9858698643209349
1D_log,opex_milp,test,0.9032590287339828
1D_log,opex_lp_lower,train,0.9855245414671218
1D_log,opex_lp_lower,test,0.8883913427796809
1D_log,opex_lp_upper,train,0.9847105771954003
1D_log,opex_lp_upper,test,0.9171160330220183
1D_log,opex_lp_approx,train,0.985548269118194
1D_log,opex_lp_approx,test,0.893718503045484
1D_angle,opex_milp,train,0.9835177197900462
1D_angle,opex_milp,test,0.9204504719731567
1D_angle,opex_lp_lower,train,0.9833104938443566
1D_angle,opex_lp_lower,test,0.9224590986781867
1D_angle,opex_lp_upper,train,0.9829030872002456
1D_angle,opex_lp_upper,test,0.9100540882198004
1D_angle,opex_lp_approx,train,0.983090265869647
1D_angle,opex_lp_approx,test,0.9147577579649464
2D,opex_milp,train,0.964253897419063
2D,opex_milp,test,0.9719030693392161
2D,opex_lp_lower,train,0.9622386124940421
2D,opex_lp_lower,test,0.9687619638723707
2D,opex_lp_upper,train,0.9572304885582983
2D,opex_lp_upper,test,0.9671028200576287
2D,opex_lp_approx,train,0.9641729195087982
2D,opex_lp_approx,test,0.9720859873263886
2D_noY,opex_milp,train,0.957863789456631
2D_noY,opex_milp,test,0.9638255664327787
2D_noY,opex_lp_lower,train,0.9558541789656906
2D_noY,opex_lp_lower,test,0.9607583491642272
2D_noY,opex_lp_upper,train,0.9510611047807109
2D_noY,opex_lp_upper,test,0.9592935224439951
2D_noY,opex_lp_approx,train,0.9578021751827688
2D_noY,opex_lp_approx,test,0.9638335129195087
1D_eqv,opex_milp,train,0.9192344689778171
1D_eqv,opex_milp,test,0.9263661944654199
1D_eqv,opex_lp_lower,train,0.9238981504634427
1D_eqv,opex_lp_lower,test,0.9281347039133024
1D_eqv,opex_lp_upper,train,0.9040548389248845
1D_eqv,opex_lp_upper,test,0.9165446660042376
1D_eqv,opex_lp_approx,train,0.9120736375008562
1D_eqv,opex_lp_approx,test,0.9203430878033234
