mode,formulation,split,r2_vs_milp
1D_log,opex_milp,train,0.9858698643209349
1D_log,opex_milp,test,0.8863334070714007
1D_log,opex_lp_lower,train,0.9855245414671218
1D_log,opex_lp_lower,test,0.8683684899002305
1D_log,opex_lp_upper,train,0.9847105771954003
1D_log,opex_lp_upper,test,0.9030062468140035
1D_log,opex_lp_approx,train,0.985548269118194
1D_log,opex_lp_approx,test,0.8746935254902699
1D_angle,opex_milp,train,0.9835177197900462
1D_angle,opex_milp,test,0.9069399854467055
1D_angle,opex_lp_lower,train,0.9833104938443566
1D_angle,opex_lp_lower,test,0.9094475278678148
1D_angle,opex_lp_upper,train,0.9829030872002456
1D_angle,opex_lp_upper,test,0.8942091695189002
1D_angle,opex_lp_approx,train,0.983090265869647
1D_angle,opex_lp_approx,test,0.9000270048376404
1D_angle_weighted,opex_milp,train,0.9647751911958711
1D_angle_weighted,opex_milp,test,0.9130483577086974
1D_angle_weighted,opex_lp_lower,train,0.9589775982191561
1D_angle_weighted,opex_lp_lower,test,0.8920804573378073
1D_angle_weighted,opex_lp_upper,train,0.9734474588378421
1D_angle_weighted,opex_lp_upper,test,0.9311458156694089
1D_angle_weighted,opex_lp_approx,train,0.9659929940164353
1D_angle_weighted,opex_lp_approx,test,0.9030796769852147
2D,opex_milp,train,0.964253897419063
2D,opex_milp,test,0.961606994765814
2D,opex_lp_lower,train,0.9622386124940421
2D,opex_lp_lower,test,0.9572302170072394
2D,opex_lp_upper,train,0.9572304885582983
2D,opex_lp_upper,test,0.9575298962939303
2D,opex_lp_approx,train,0.9641729195087982
2D,opex_lp_approx,test,0.9615801363497367
2D_noY,opex_milp,train,0.957863789456631
2D_noY,opex_milp,test,0.9585275136093948
2D_noY,opex_lp_lower,train,0.9558541789656906
2D_noY,opex_lp_lower,test,0.9549888920951414
2D_noY,opex_lp_upper,train,0.9510611047807109
2D_noY,opex_lp_upper,test,0.9529830714594353
2D_noY,opex_lp_approx,train,0.9578021751827688
2D_noY,opex_lp_approx,test,0.9585491574385653
1D_eqv,opex_milp,train,0.9192344689778171
1D_eqv,opex_milp,test,0.9141191208697071
1D_eqv,opex_lp_lower,train,0.9238981504634427
1D_eqv,opex_lp_lower,test,0.9163469311501266
1D_eqv,opex_lp_upper,train,0.9040548389248845
1D_eqv,opex_lp_upper,test,0.9020737302154832
1D_eqv,opex_lp_approx,train,0.9120736375008562
1D_eqv,opex_lp_approx,test,0.9068019244459159
