mode,formulation,split,r2_vs_milp
1D_log,opex_milp,train,0.9858698643209349
1D_log,opex_milp,test,0.8822515066886587
1D_log,opex_lp_lower,train,0.9855245414671218
1D_log,opex_lp_lower,test,0.8638481387863053
1D_log,opex_lp_upper,train,0.9847105771954003
1D_log,opex_lp_upper,test,0.8976585097284849
1D_log,opex_lp_approx,train,0.985548269118194
1D_log,opex_lp_approx,test,0.8711416767468055
1D_angle,opex_milp,train,0.9835177197900462
1D_angle,opex_milp,test,0.8985425099055495
1D_angle,opex_lp_lower,train,0.9833104938443566
1D_angle,opex_lp_lower,test,0.9026965398465682
1D_angle,opex_lp_upper,train,0.9829030872002456
1D_angle,opex_lp_upper,test,0.8819398976363572
1D_angle,opex_lp_approx,train,0.983090265869647
1D_angle,opex_lp_approx,test,0.891609175632372
1D_angle_weighted,opex_milp,train,0.9647751911958711
1D_angle_weighted,opex_milp,test,0.9059406438941308
1D_angle_weighted,opex_lp_lower,train,0.9589775982191561
1D_angle_weighted,opex_lp_lower,test,0.8829265853356991
1D_angle_weighted,opex_lp_upper,train,0.9734474588378421
1D_angle_weighted,opex_lp_upper,test,0.9250902901706535
1D_angle_weighted,opex_lp_approx,train,0.9659929940164353
1D_angle_weighted,opex_lp_approx,test,0.8956028598158859
2D,opex_milp,train,0.964253897419063
2D,opex_milp,test,0.9541806422775145
2D,opex_lp_lower,train,0.9622386124940421
2D,opex_lp_lower,test,0.9484138671532146
2D,opex_lp_upper,train,0.9572304885582983
2D,opex_lp_upper,test,0.9503104197259538
2D,opex_lp_approx,train,0.9641729195087982
2D,opex_lp_approx,test,0.9539483930934389
2D_noY,opex_milp,train,0.957863789456631
2D_noY,opex_milp,test,0.9539017587943085
2D_noY,opex_lp_lower,train,0.9558541789656906
2D_noY,opex_lp_lower,test,0.9500306448199227
2D_noY,opex_lp_upper,train,0.9510611047807109
2D_noY,opex_lp_upper,test,0.9467626955726587
2D_noY,opex_lp_approx,train,0.9578021751827688
2D_noY,opex_lp_approx,test,0.9538318671740659
1D_eqv,opex_milp,train,0.9192344689778171
1D_eqv,opex_milp,test,0.9059633774975896
1D_eqv,opex_lp_lower,train,0.9238981504634427
1D_eqv,opex_lp_lower,test,0.9095881385056009
1D_eqv,opex_lp_upper,train,0.9040548389248845
1D_eqv,opex_lp_upper,test,0.8905386501920756
1D_eqv,opex_lp_approx,train,0.9120736375008562
1D_eqv,opex_lp_approx,test,0.898200613301577
