mode,formulation,split,r2_vs_milp
1D_log,opex_milp,train,0.9858698643209349
1D_log,opex_milp,test,0.9638168825810514
1D_log,opex_lp_lower,train,0.9855245414671218
1D_log,opex_lp_lower,test,0.957512367002367
1D_log,opex_lp_upper,train,0.9847105771954003
1D_log,opex_lp_upper,test,0.9708427685816834
1D_log,opex_lp_approx,train,0.985548269118194
1D_log,opex_lp_approx,test,0.9596304643204941
1D_angle,opex_milp,train,0.9835177197900462
1D_angle,opex_milp,test,0.9738152927899361
1D_angle,opex_lp_lower,train,0.9833104938443566
1D_angle,opex_lp_lower,test,0.9735517008887705
1D_angle,opex_lp_upper,train,0.9829030872002456
1D_angle,opex_lp_upper,test,0.9719533087640406
1D_angle,opex_lp_approx,train,0.983090265869647
1D_angle,opex_lp_approx,test,0.9719665091963616
2D,opex_milp,train,0.964253897419063
2D,opex_milp,test,0.9719030693392161
2D,opex_lp_lower,train,0.9622386124940421
2D,opex_lp_lower,test,0.9687619638723707
2D,opex_lp_upper,train,0.9572304885582983
2D,opex_lp_upper,test,0.9671028200576287
2D,opex_lp_approx,train,0.9641729195087982
2D,opex_lp_approx,test,0.9720859873263886
2D_noY,opex_milp,train,0.957863789456631
2D_noY,opex_milp,test,0.9638255664327787
2D_noY,opex_lp_lower,train,0.9558541789656906
2D_noY,opex_lp_lower,test,0.9607583491642272
2D_noY,opex_lp_upper,train,0.9510611047807109
2D_noY,opex_lp_upper,test,0.9592935224439951
2D_noY,opex_lp_approx,train,0.9578021751827688
2D_noY,opex_lp_approx,test,0.9638335129195087
1D_eqv,opex_milp,train,0.9773196511296599
1D_eqv,opex_milp,test,0.9750600466453219
1D_eqv,opex_lp_lower,train,0.9769878560610438
1D_eqv,opex_lp_lower,test,0.9747497959821629
1D_eqv,opex_lp_upper,train,0.9763172258769766
1D_eqv,opex_lp_upper,test,0.97345894557553
1D_eqv,opex_lp_approx,train,0.9769447331720059
1D_eqv,opex_lp_approx,test,0.973863528966404
