mode,formulation,split,r2_vs_milp
1D_log,opex_milp,train,0.9858698643209349
1D_log,opex_milp,test,0.9542852743350961
1D_log,opex_lp_lower,train,0.9855245414671218
1D_log,opex_lp_lower,test,0.9464804980249563
1D_log,opex_lp_upper,train,0.9847105771954003
1D_log,opex_lp_upper,test,0.9633781449780405
1D_log,opex_lp_approx,train,0.985548269118194
1D_log,opex_lp_approx,test,0.9484105287886789
1D_angle,opex_milp,train,0.9835177197900462
1D_angle,opex_milp,test,0.9682476480740744
1D_angle,opex_lp_lower,train,0.9833104938443566
1D_angle,opex_lp_lower,test,0.9675701932827797
1D_angle,opex_lp_upper,train,0.9829030872002456
1D_angle,opex_lp_upper,test,0.9667136051280334
1D_angle,opex_lp_approx,train,0.983090265869647
1D_angle,opex_lp_approx,test,0.9654202452504019
1D_angle_weighted,opex_milp,train,0.9647751911958711
1D_angle_weighted,opex_milp,test,0.9602689797391047
1D_angle_weighted,opex_lp_lower,train,0.9589775982191561
1D_angle_weighted,opex_lp_lower,test,0.9514966950255112
1D_angle_weighted,opex_lp_upper,train,0.9734474588378421
1D_angle_weighted,opex_lp_upper,test,0.9702528494114635
1D_angle_weighted,opex_lp_approx,train,0.9659929940164353
1D_angle_weighted,opex_lp_approx,test,0.9575032365728828
2D,opex_milp,train,0.964253897419063
2D,opex_milp,test,0.9651546171820753
2D,opex_lp_lower,train,0.9622386124940421
2D,opex_lp_lower,test,0.9617495608824164
2D,opex_lp_upper,train,0.9572304885582983
2D,opex_lp_upper,test,0.9591656046705128
2D,opex_lp_approx,train,0.9641729195087982
2D,opex_lp_approx,test,0.9651018363991769
2D_noY,opex_milp,train,0.957863789456631
2D_noY,opex_milp,test,0.9597524284768416
2D_noY,opex_lp_lower,train,0.9558541789656906
2D_noY,opex_lp_lower,test,0.9567638490561049
2D_noY,opex_lp_upper,train,0.9510611047807109
2D_noY,opex_lp_upper,test,0.9533225763552399
2D_noY,opex_lp_approx,train,0.9578021751827688
2D_noY,opex_lp_approx,test,0.9597285515822009
1D_eqv,opex_milp,train,0.9773196511296599
1D_eqv,opex_milp,test,0.9705026654260265
1D_eqv,opex_lp_lower,train,0.9769878560610438
1D_eqv,opex_lp_lower,test,0.969902016300223
1D_eqv,opex_lp_upper,train,0.9763172258769766
1D_eqv,opex_lp_upper,test,0.9689707834070306
1D_eqv,opex_lp_approx,train,0.9769447331720059
1D_eqv,opex_lp_approx,test,0.9683828063384807
