mode,formulation,split,r2_vs_milp
1D_log,opex_milp,train,0.9858698643209349
1D_log,opex_milp,test,0.947805310755989
1D_log,opex_lp_lower,train,0.9855245414671218
1D_log,opex_lp_lower,test,0.9382614704037576
1D_log,opex_lp_upper,train,0.9847105771954003
1D_log,opex_lp_upper,test,0.959332017965293
1D_log,opex_lp_approx,train,0.985548269118194
1D_log,opex_lp_approx,test,0.9423565915847568
1D_angle,opex_milp,train,0.9835177197900462
1D_angle,opex_milp,test,0.9648738130942104
1D_angle,opex_lp_lower,train,0.9833104938443566
1D_angle,opex_lp_lower,test,0.9635987261470583
1D_angle,opex_lp_upper,train,0.9829030872002456
1D_angle,opex_lp_upper,test,0.9640188679134148
1D_angle,opex_lp_approx,train,0.983090265869647
1D_angle,opex_lp_approx,test,0.9627564585495195
1D_angle_weighted,opex_milp,train,0.9647751911958711
1D_angle_weighted,opex_milp,test,0.9473509306613866
1D_angle_weighted,opex_lp_lower,train,0.9589775982191561
1D_angle_weighted,opex_lp_lower,test,0.9356216174426437
1D_angle_weighted,opex_lp_upper,train,0.9734474588378421
1D_angle_weighted,opex_lp_upper,test,0.9617026239521084
1D_angle_weighted,opex_lp_approx,train,0.9659929940164353
1D_angle_weighted,opex_lp_approx,test,0.9441315002685383
2D,opex_milp,train,0.964253897419063
2D,opex_milp,test,0.9541806422775145
2D,opex_lp_lower,train,0.9622386124940421
2D,opex_lp_lower,test,0.9484138671532146
2D,opex_lp_upper,train,0.9572304885582983
2D,opex_lp_upper,test,0.9503104197259538
2D,opex_lp_approx,train,0.9641729195087982
2D,opex_lp_approx,test,0.9539483930934389
2D_noY,opex_milp,train,0.957863789456631
2D_noY,opex_milp,test,0.9539017587943085
2D_noY,opex_lp_lower,train,0.9558541789656906
2D_noY,opex_lp_lower,test,0.9500306448199227
2D_noY,opex_lp_upper,train,0.9510611047807109
2D_noY,opex_lp_upper,test,0.9467626955726587
2D_noY,opex_lp_approx,train,0.9578021751827688
2D_noY,opex_lp_approx,test,0.9538318671740659
1D_eqv,opex_milp,train,0.9773196511296599
1D_eqv,opex_milp,test,0.9663429455770157
1D_eqv,opex_lp_lower,train,0.9769878560610438
1D_eqv,opex_lp_lower,test,0.965063569039719
1D_eqv,opex_lp_upper,train,0.9763172258769766
1D_eqv,opex_lp_upper,test,0.9657130461413735
1D_eqv,opex_lp_approx,train,0.9769447331720059
1D_eqv,opex_lp_approx,test,0.9650286086651918
