k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
0,320.468192,396.6608949,38.00873397648534,149.531808,0.0,16.5365526703946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
1,339.6319139,396.6608949,179.51983533852618,0.0,127.63191389999996,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.00000000000001,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
2,355.3113195,396.6608949,44.61040773939025,114.68868049999998,0.0,16.5365526703946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
3,357.0534765,396.6608949,153.07022667050356,0.0,145.0534765,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.00000000000001,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
4,357.0534765,396.6608949,0.0,106.37466559051536,0.0,23.566804699317913,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,962.0222606883555,0.0,463.42814209051534,0.0,373.0940902006821
5,353.569165,396.6608949,100.80371302078966,116.430835,0.0,16.5365526703946,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
6,355.3113195,396.6608949,210.63418271805938,0.0,143.31131950000002,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.00000000000001,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
7,383.7054617,587.1223702,59.106127100514826,86.2945383,0.0,206.99802797039456,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
8,506.9542607,781.293796,140.58653707429443,0.0,36.95426070000002,401.1694537703946,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
9,497.295584,781.293796,101.08322318271452,0.0,27.29558400000002,401.1694537703946,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
10,487.2668116,791.3176496,71.9185857358436,0.0,17.266811599999983,411.19330737039456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
11,472.8077301,791.3176496,53.42966247599337,0.0,2.8077301000000148,411.19330737039456,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
12,449.1472223,791.3176496,50.21505201843855,20.85277769999999,0.0,411.19330737039456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
