k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
0,320.468192,396.6608949,0.0,142.1292759343479,0.0,24.45541926649264,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,960.1125388936047,0.0,462.5974679343479,0.0,372.2054756335074
1,339.6319139,396.6608949,134.68581699979586,0.0,127.63191389999996,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
2,355.3113195,396.6608949,0.0,50.866277296839456,0.0,84.81063677105965,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,830.4031254390594,0.0,406.17759679683945,0.0,311.85025812894037
3,357.0534765,396.6608949,48.20235711766784,112.94652350000001,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
4,357.0534765,396.6608949,154.99334271196648,112.94652350000005,0.0,16.536552670394542,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309773,0.0,470.0,0.0,380.1243422296055,0.0
5,353.569165,396.6608949,261.2517060435797,0.0,247.569165,396.6608949,-0.0,1.0,0.0,0.0,0.0,114.6125,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
6,355.3113195,396.6608949,0.0,109.40914389376849,0.0,22.184342602700553,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,964.9933103355845,0.0,464.7204633937687,0.0,374.47655229729946
7,383.7054617,587.1223702,103.67927251938718,86.2945382999998,0.0,206.99802797039604,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309734,0.0,470.0,0.0,380.12434222960394,0.0
8,506.9542607,781.293796,184.93737300294237,0.0,36.95426070000008,401.1694537703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
9,497.295584,781.293796,145.21285839434634,0.0,27.29558400000002,401.1694537703946,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
10,487.2668116,791.3176496,115.82812347363807,0.0,17.266811599999983,411.19330737039456,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
11,472.8077301,791.3176496,97.1202004806809,0.0,2.8077301000000343,411.19330737039456,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
12,449.1472223,791.3176496,93.68768255574476,20.85277770000007,0.0,411.19330737039456,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
13,455.6758214,791.3176496,112.98110919674151,14.324178600000026,0.0,411.19330737039456,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
14,473.1244571,791.3176496,125.99161993868356,0.0,3.124457099999972,411.19330737039456,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
15,481.4872323,779.3760622,122.08254047104512,0.0,11.487232300000066,399.25171997039456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
16,486.1668577,779.3760622,109.41200702555302,0.0,16.166857699999944,399.25171997039473,0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309768,0.0,470.0,0.0,380.12434222960525
17,488.5970503,779.3760622,91.89104096021767,0.0,18.597050300000006,399.25171997039445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309776,0.0,470.0,0.0,380.12434222960553,0.0
18,498.1615104,714.0545666,71.90574820226804,0.0,28.16151039999999,333.93022437039457,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309773,0.0,470.0,0.0,380.1243422296055,0.0
19,371.1083804,585.2046364,41.97740750578697,98.89161959999996,0.0,205.08029417039472,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.130977130977,0.0,470.0,0.0,380.1243422296053
20,373.1786634,585.2046364,135.4806062930402,0.0,0.0,308.65502257297305,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,754.5385016951016,0.0,373.17866339999995,0.0,276.549613827027
21,375.2489441,585.2046364,134.80489395016565,94.75105590000689,0.0,205.08029417038537,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
22,348.3426941,396.6608949,223.92139567182073,0.0,136.3426941,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.61249999999994,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
23,350.084851,396.6608949,79.64415699917753,119.91514899999993,0.0,16.536552670394713,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.130977130977,0.0,470.0,0.0,380.1243422296053,0.0
24,350.084851,396.6608949,192.88199725148192,0.0,138.08485100000013,396.6608949,1.0,1.0,0.0,0.0,114.61249999999998,114.61249999999984,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
25,353.569165,396.6608949,46.930295847809354,116.430835,0.0,16.5365526703946,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
