k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
0,320.468192,396.6608949,1000.0,1000.0,897.7500000000001,77.58789283313081,0.0,0.0,0.0,0.0,1070.714772036474,0.0,422.71819199999993,0.0,319.0730020668692,0.0
1,339.6319139,396.6608949,1000.0,1000.0,897.7500000000001,63.1228747829789,0.0,0.0,0.0,0.0,0.0,1119.2551010638294,0.0,441.88191389999986,0.0,333.5380201170211
2,355.3113195,396.6608949,1000.0,1000.0,897.7500000000001,51.28786245065862,0.0,0.0,0.0,0.0,0.0,1158.9699075481255,0.0,457.56131949999997,0.0,345.3730324493414
3,357.0534765,396.6608949,1000.0,1000.0,897.7500000000001,49.97286045977722,0.0,0.0,0.0,0.0,1163.382665906788,0.0,459.3034764999999,0.0,346.6880344402228,0.0
4,357.0534765,396.6608949,1000.0,1000.0,897.7500000000001,49.97286045977722,0.0,0.0,0.0,0.0,0.0,1163.382665906788,0.0,459.3034764999999,0.0,346.6880344402228
5,353.569165,396.6608949,1000.0,1000.0,897.7500000000001,52.60286255450882,0.0,0.0,0.0,0.0,0.0,1154.5571555217825,0.0,455.81916499999977,0.0,344.0580323454912
6,355.3113195,396.6608949,1000.0,1000.0,897.7500000000001,51.28786245065862,0.0,0.0,0.0,0.0,0.0,1158.9699075481255,0.0,457.56131949999997,0.0,345.3730324493414
7,383.7054617,587.1223702,1000.0,1000.0,897.7500000000001,220.31708249331325,0.0,0.0,0.0,0.0,1230.8902272036469,0.0,485.9554616999998,0.0,366.8052877066867,0.0
8,506.9542607,781.293796,1000.0,1000.0,897.7500000000001,321.4587663936171,0.0,0.0,0.0,0.0,0.0,1543.070569148936,0.0,609.2042607,0.0,459.83502960638293
9,497.295584,781.293796,1000.0,1000.0,897.7500000000001,328.7492569118543,0.0,0.0,0.0,0.0,1518.605835866261,0.0,599.5455839999998,0.0,452.54453908814577,0.0
10,487.2668116,791.3176496,1000.0,1000.0,897.7500000000001,346.3429539140832,0.0,0.0,0.0,0.0,0.0,1493.2036767983786,0.0,589.5168115999999,0.0,444.9746956859168
11,472.8077301,791.3176496,1000.0,1000.0,897.7500000000001,357.2568502843972,0.0,0.0,0.0,0.0,1456.5798634751773,0.0,575.0577301,0.0,434.06079931560276,0.0
12,449.1472223,791.3176496,1000.0,1000.0,897.7500000000001,375.1160988264438,0.0,0.0,0.0,0.0,1396.6494992401215,0.0,551.3972223,0.0,416.20155077355616,0.0
13,455.6758214,791.3176496,1000.0,1000.0,897.7500000000001,370.1882302048632,0.0,0.0,0.0,0.0,0.0,1413.1859711246202,0.0,557.9258214,0.0,421.1294193951368
14,473.1244571,791.3176496,1000.0,1000.0,897.7500000000001,357.01778076565364,0.0,0.0,0.0,0.0,1457.3821101823705,0.0,575.3744570999999,0.0,434.29986883434634,0.0
15,481.4872323,779.3760622,1000.0,1000.0,897.7500000000001,338.7638655804459,0.0,0.0,0.0,0.0,1478.5644181864232,0.0,583.7372322999998,0.0,440.6121966195541,0.0
16,486.1668577,779.3760622,1000.0,1000.0,897.7500000000001,335.2316255368795,0.0,0.0,0.0,0.0,1490.4175726950352,0.0,588.4168576999999,0.0,444.1444366631205,0.0
17,488.5970503,779.3760622,1000.0,1000.0,897.7500000000001,333.3972856311046,0.0,0.0,0.0,0.0,1496.5730757345486,0.0,590.8470502999998,0.0,445.9787765688954,0.0
18,498.1615104,714.0545666,1000.0,1000.0,897.7500000000001,260.85641538622104,0.0,0.0,0.0,0.0,1520.7991651469097,0.0,600.4115103999999,0.0,453.198151213779,0.0
19,371.1083804,585.2046364,1000.0,1000.0,897.7500000000001,227.90778391975698,0.0,0.0,0.0,0.0,0.0,1198.9827264437688,0.0,473.3583803999999,0.0,357.29685248024305
20,373.1786634,585.2046364,1000.0,1000.0,897.7500000000001,226.34510830172252,0.0,0.0,0.0,0.0,1204.226604356636,0.0,475.4286633999999,0.0,358.8595280982775,0.0
21,375.2489441,585.2046364,1000.0,1000.0,897.7500000000001,224.78243441975695,0.0,0.0,0.0,0.0,1209.4704764437688,0.0,477.4989440999999,0.0,360.4222019802431,0.0
22,348.3426941,396.6608949,1000.0,1000.0,897.7500000000001,56.54786845167183,0.0,0.0,0.0,0.0,0.0,1141.318880699088,0.0,450.5926940999999,0.0,340.1130264483282
23,350.084851,396.6608949,1000.0,1000.0,897.7500000000001,55.232866536271615,0.0,0.0,0.0,0.0,0.0,1145.7316388044578,0.0,452.33485099999996,0.0,341.4280283637284
24,350.084851,396.6608949,1000.0,1000.0,897.7500000000001,55.232866536271615,0.0,0.0,0.0,0.0,1145.7316388044578,0.0,452.33485099999996,0.0,341.4280283637284,0.0
25,353.569165,396.6608949,1000.0,1000.0,897.7500000000001,52.60286255450882,0.0,0.0,0.0,0.0,0.0,1154.5571555217825,0.0,455.81916499999977,0.0,344.0580323454912
26,355.3113195,396.6608949,1000.0,1000.0,897.7500000000001,51.28786245065862,0.0,0.0,0.0,0.0,1158.9699075481255,0.0,457.56131949999997,0.0,345.3730324493414,0.0
27,357.0534765,396.6608949,1000.0,1000.0,897.7500000000001,49.97286045977722,0.0,0.0,0.0,0.0,1163.382665906788,0.0,459.3034764999999,0.0,346.6880344402228,0.0
28,362.279945,396.6608949,1000.0,1000.0,897.7500000000001,46.02785637416429,0.0,0.0,0.0,0.0,1176.6209346504556,0.0,464.5299449999999,0.0,350.63303852583573,0.0
29,364.022102,396.6608949,1000.0,1000.0,897.7500000000001,44.71285438328289,0.0,0.0,0.0,0.0,0.0,1181.033693009118,0.0,466.2721019999998,0.0,351.9480405167171
30,364.022102,396.6608949,1000.0,1000.0,897.7500000000001,44.71285438328289,0.0,0.0,0.0,0.0,0.0,1181.033693009118,0.0,466.2721019999998,0.0,351.9480405167171
31,398.210111,587.1223702,1000.0,1000.0,897.7500000000001,209.3687909750762,0.0,0.0,0.0,0.0,1267.6294604863217,0.0,500.46011099999976,0.0,377.7535792249238,0.0
32,525.2319391,781.293796,1000.0,1000.0,897.7500000000001,307.662545108916,0.0,0.0,0.0,0.0,0.0,1589.3666137284702,0.0,627.4819391,0.0,473.63125089108405
33,518.7740505,781.293796,1000.0,1000.0,897.7500000000001,312.5370405567376,0.0,0.0,0.0,0.0,0.0,1573.009246453901,0.0,621.0240505,0.0,468.7567554432624
34,513.0255398,791.3176496,1000.0,1000.0,897.7500000000001,326.89994225349557,0.0,0.0,0.0,0.0,0.0,1558.4486823708203,0.0,615.2755397999998,0.0,464.4177073465044
35,505.2914575,791.3176496,1000.0,1000.0,897.7500000000001,332.73772473931115,0.0,0.0,0.0,0.0,0.0,1538.8588082573451,0.0,607.5414574999999,0.0,458.57992486068883
36,489.3713909,791.3176496,1000.0,1000.0,897.7500000000001,344.7543910179332,0.0,0.0,0.0,0.0,1498.5344247720363,0.0,591.6213908999999,0.0,446.5632585820668,0.0
37,482.3716511,791.3176496,1000.0,1000.0,897.7500000000001,350.03788255896666,0.0,0.0,0.0,0.0,1480.804587386018,0.0,584.6216510999999,0.0,441.2797670410333,0.0
38,493.9611443,791.3176496,1000.0,1000.0,897.7500000000001,341.2899874890579,0.0,0.0,0.0,0.0,1510.1599399696042,0.0,596.2111442999998,0.0,450.02766211094206,0.0
39,505.3895853,779.3760622,1000.0,1000.0,897.7500000000001,320.72206924305993,0.0,0.0,0.0,0.0,1539.1073589159064,0.0,607.6395852999998,0.0,458.65399295694004,0.0
40,516.1118787,779.3760622,1000.0,1000.0,897.7500000000001,312.6287474771024,0.0,0.0,0.0,0.0,1566.2661567882471,0.0,618.3618786999999,0.0,466.74731472289756,0.0
41,528.6186163,779.3760622,1000.0,1000.0,897.7500000000001,303.18850481043575,0.0,0.0,0.0,0.0,1597.9448234549136,0.0,630.8686162999999,0.0,476.18755738956423,0.0
42,531.5059581,714.0545666,1000.0,1000.0,897.7500000000001,235.6876073451876,0.0,0.0,0.0,0.0,0.0,1605.258252532928,0.0,633.7559580999999,0.0,478.36695925481246
43,402.1626028,585.2046364,1000.0,1000.0,897.7500000000001,204.46766670800417,0.0,0.0,0.0,0.0,0.0,1277.6408378926037,0.0,504.41260279999995,0.0,380.73696969199585
44,402.1626028,585.2046364,1000.0,1000.0,897.7500000000001,204.46766670800417,0.0,0.0,0.0,0.0,0.0,1277.6408378926037,0.0,504.41260279999995,0.0,380.73696969199585
45,398.0220389,585.2046364,1000.0,1000.0,897.7500000000001,207.59301635896662,0.0,0.0,0.0,0.0,1267.1530873860183,0.0,500.2720389,0.0,377.6116200410334,0.0
46,370.9907276,396.6608949,1000.0,1000.0,897.7500000000001,39.4528482313072,0.0,0.0,0.0,0.0,0.0,1198.6847203647412,0.0,473.2407275999998,0.0,357.2080466686928
47,377.9593531,396.6608949,1000.0,1000.0,897.7500000000001,34.19284215481264,0.0,0.0,0.0,0.0,1216.3357474670718,0.0,480.20935309999993,0.0,362.4680527451874,0.0
48,381.4436671,396.6608949,1000.0,1000.0,897.7500000000001,31.562838173049727,0.0,0.0,0.0,0.0,1225.1612641843972,0.0,483.69366709999997,0.0,365.0980567269503,0.0
